Invoice ID,Branch,City,Customer type,Gender,Category,Unit price,Quantity,Tax 5%,Amount,Date,Time,Payment,cogs,gross margin percentage,gross income,Rating
870-72-4431,Kenloy,Jinja,Normal,Male,Health and beauty,19838,36,30,714168,5/25/2024,14:42,Credit Card,595.14,4.761904762,29.757,5.5
870-72-4431,Kenloy,Jinja,Normal,Female,Health and beauty,19838,36,30,714168,1/21/2024,14:42,Cash,595.14,4.761904762,29.757,5.5
648-94-3045,Kenloy,Jinja,Normal,Male,Health and beauty,11790,100,29,1179000,6/7/2024,14:27,MOMO,589.5,4.761904762,29.475,8.1
648-94-3045,Kenloy,Jinja,Normal,Male,Health and beauty,11790,64,29,754560,2/7/2024,14:27,MOMO,589.5,4.761904762,29.475,8.1
137-63-5492,Kenloy,Jinja,Normal,Male,Electronic accessories,11752,100,29,1175200,5/29/2024,14:26,MOMO,587.6,4.761904762,29.38,9
137-63-5492,Kenloy,Jinja,Normal,Male,Electronic accessories,11752,64,29,752128,1/29/2024,14:26,MOMO,587.6,4.761904762,29.38,9
887-42-0517,Kenloy,Jinja,Normal,Female,Sports and travel,16628,225,29,3741300,1/10/2024,10:31,Credit Card,581.98,4.761904762,29.099,
887-42-0517,Kenloy,Jinja,Normal,Male,Sports and travel,16628,50,29,10000,5/10/2024,10:31,Credit Card,581.98,4.761904762,29.099,
730-50-9884,Kenloy,Jinja,Normal,Female,Health and beauty,16612,225,29,3737700,3/5/2024,14:31,Cash,581.42,4.761904762,29.071,0.2
730-50-9884,Kenloy,Jinja,Normal,Male,Sports and travel,16612,50,29,10000,4/5/2024,14:31,MOMO,581.42,4.761904762,29.071,4
131-15-8856,Kenloy,Jinja,Member,Female,Health and beauty,14504,64,29,928256,3/30/2024,19:26,MOMO,580.16,4.761904762,29.008,0.2
131-15-8856,Kenloy,Jinja,Member,Male,Food and beverages,14504,64,29,928256,4/30/2024,19:26,Credit Card,580.16,4.761904762,29.008,4
886-77-9084,Kenloy,Jinja,Normal,Male,Electronic accessories,14378,64,29,920192,6/19/2024,11:33,MOMO,575.12,4.761904762,28.756,5.5
886-77-9084,Kenloy,Jinja,Normal,Male,Electronic accessories,14378,64,29,920192,2/19/2024,11:33,MOMO,575.12,4.761904762,28.756,5.5
314-23-4520,Kenloy,Jinja,Member,Male,Health and beauty,16246,225,28,3655350,1/15/2024,20:44,Cash,568.61,4.761904762,28.4305,9
386-27-7606,Kenloy,Jinja,Member,Male,Home and lifestyle,16240,50,28,10000,4/24/2024,15:59,Credit Card,568.4,4.761904762,28.42,8.1
314-23-4520,Kenloy,Jinja,Member,Male,Health and beauty,16246,50,28,10000,5/15/2024,20:44,Cash,568.61,4.761904762,28.4305,9
386-27-7606,Kenloy,Jinja,Member,Female,Home and lifestyle,16240,225,28,3654000,3/23/2024,15:59,Credit Card,568.4,4.761904762,28.42,8.1
660-29-7083,Kenloy,Jinja,Normal,Male,Electronic accessories,11174,100,28,1117400,5/15/2024,15:01,Cash,558.7,4.761904762,27.935,5.8
660-29-7083,Kenloy,Jinja,Normal,Male,Electronic accessories,11174,64,28,715136,1/15/2024,15:01,Cash,558.7,4.761904762,27.935,5.8
433-08-7822,Kenloy,Jinja,Normal,Male,Health and beauty,15778,50,28,10000,5/5/2024,19:48,MOMO,552.23,4.761904762,27.6115,7.5
433-08-7822,Kenloy,Jinja,Normal,Female,Health and beauty,15778,225,28,3550050,1/5/2024,19:48,MOMO,552.23,4.761904762,27.6115,7.5
663-86-9076,Kenloy,Jinja,Member,Male,Food and beverages,13708,64,27,877312,5/8/2024,15:57,MOMO,548.32,4.761904762,27.416,8.5
663-86-9076,Kenloy,Jinja,Member,Female,Food and beverages,13708,64,27,877312,1/8/2024,15:57,Cash,548.32,4.761904762,27.416,8.5
878-30-2331,Kenloy,Jinja,Member,Male,Sports and travel,10910,100,27,1091000,4/6/2024,11:22,Credit Card,545.5,4.761904762,27.275,7.1
878-30-2331,Kenloy,Jinja,Member,Female,Sports and travel,10910,64,27,698240,3/2/2024,11:22,Cash,545.5,4.761904762,27.275,7.1
862-59-8517,Kenloy,Jinja,Normal,Male,Food and beverages,18048,36,27,649728,5/27/2024,11:17,Cash,541.44,4.761904762,27.072,6.2
862-59-8517,Kenloy,Jinja,Normal,Female,Health and beauty,18048,36,27,649728,1/27/2024,11:17,Cash,541.44,4.761904762,27.072,6.2
541-08-3113,Kenloy,Jinja,Normal,Male,Health and beauty,13194,64,26,844416,2/2/2024,20:29,Cash,527.76,4.761904762,26.388,8.4
541-08-3113,Kenloy,Jinja,Normal,Male,Food and beverages,13194,64,26,844416,6/6/2024,20:29,Cash,527.76,4.761904762,26.388,8.4
358-88-9262,Kenloy,Jinja,Member,Female,Health and beauty,17496,36,26,629856,2/1/2024,18:43,Cash,524.88,4.761904762,26.244,5.1
358-88-9262,Kenloy,Jinja,Member,Male,Food and beverages,17496,36,26,629856,6/5/2024,18:43,MOMO,524.88,4.761904762,26.244,5.1
154-87-7367,Kenloy,Jinja,Normal,Male,Home and lifestyle,13052,64,26,835328,3/15/2024,14:04,MOMO,522.08,4.761904762,26.104,6.3
154-87-7367,Kenloy,Jinja,Normal,Male,Home and lifestyle,13052,64,26,835328,4/15/2024,14:04,MOMO,522.08,4.761904762,26.104,6.3
408-26-9866,Kenloy,Jinja,Normal,Male,Sports and travel,14796,50,26,10000,4/6/2024,16:42,MOMO,517.86,4.761904762,25.893,4.1
408-26-9866,Kenloy,Jinja,Normal,Female,Health and beauty,14796,225,26,3329100,3/2/2024,16:42,Cash,517.86,4.761904762,25.893,0.205
196-01-2849,Kenloy,Jinja,Member,Female,Fashion accessories,14676,225,26,3302100,2/10/2024,13:56,Cash,513.66,4.761904762,25.683,9.5
196-01-2849,Kenloy,Jinja,Member,Male,Fashion accessories,14676,50,26,10000,6/10/2024,13:56,Cash,513.66,4.761904762,25.683,9.5
336-78-2147,Kenloy,Jinja,Member,Male,Home and lifestyle,12782,64,26,818048,4/14/2024,19:52,Credit Card,511.28,4.761904762,25.564,4.6
336-78-2147,Kenloy,Jinja,Member,Male,Home and lifestyle,12782,64,26,818048,3/13/2024,19:52,Cash,511.28,4.761904762,25.564,0.23
767-05-1286,Kenloy,Jinja,Member,Male,Home and lifestyle,16754,36,25,603144,5/24/2024,12:10,MOMO,502.62,4.761904762,25.131,5.4
767-05-1286,Kenloy,Jinja,Member,Female,Home and lifestyle,16754,36,25,603144,1/23/2024,12:10,Cash,502.62,4.761904762,25.131,5.4
451-28-5717,Kenloy,Jinja,Member,Male,Home and lifestyle,16634,36,25,598824,4/20/2024,11:23,Cash,499.02,4.761904762,24.951,7.3
451-28-5717,Kenloy,Jinja,Member,Female,Health and beauty,16634,36,25,598824,3/20/2024,11:23,Cash,499.02,4.761904762,24.951,7.3
860-79-0874,Kenloy,Jinja,Member,Male,Fashion accessories,19860,100,50,1986000,6/15/2024,14:53,Credit Card,993,4.761904762,49.65,
718-57-9773,Kenloy,Jinja,Normal,Male,Sports and travel,9866,100,25,986600,6/4/2024,16:40,Credit Card,493.3,4.761904762,24.665,9.4
718-57-9773,Kenloy,Jinja,Normal,Female,Health and beauty,9866,64,25,631424,2/3/2024,16:40,Cash,493.3,4.761904762,24.665,9.4
283-26-5248,Kenloy,Jinja,Member,Male,Food and beverages,19704,100,49,1970400,5/30/2024,20:23,MOMO,985.2,4.761904762,49.26,4.5
483-71-1164,Kenloy,Jinja,Normal,Female,Health and beauty,16260,36,24,585360,3/8/2024,16:43,Cash,487.8,4.761904762,24.39,5.3
483-71-1164,Kenloy,Jinja,Normal,Male,Health and beauty,16260,36,24,585360,4/8/2024,16:43,MOMO,487.8,4.761904762,24.39,5.3
751-41-9720,Kenloy,Jinja,Normal,Male,Home and lifestyle,19500,100,49,1950000,5/16/2024,16:18,MOMO,975,4.761904762,48.75,8
394-41-0748,Kenloy,Jinja,Member,Male,Fashion accessories,10814,81,24,875934,5/27/2024,14:55,MOMO,486.63,4.761904762,24.3315,9.5
394-41-0748,Kenloy,Jinja,Member,Female,Fashion accessories,10814,81,24,875934,1/27/2024,14:55,Cash,486.63,4.761904762,24.3315,9.5
271-88-8734,Kenloy,Jinja,Member,Male,Fashion accessories,19442,100,49,1944200,6/8/2024,13:00,Credit Card,972.1,4.761904762,48.605,8.7
416-13-5917,Kenloy,Jinja,Normal,Female,Food and beverages,19406,25,24,485150,1/30/2024,16:24,Cash,485.15,4.761904762,24.2575,
416-13-5917,Kenloy,Jinja,Normal,Male,Food and beverages,19406,25,24,485150,5/30/2024,16:24,MOMO,485.15,4.761904762,24.2575,
626-43-7888,Kenloy,Jinja,Normal,Female,Fashion accessories,12082,64,24,773248,2/7/2024,12:23,MOMO,483.28,4.761904762,24.164,9.6
626-43-7888,Kenloy,Jinja,Normal,Male,Fashion accessories,12082,64,24,773248,6/7/2024,12:23,MOMO,483.28,4.761904762,24.164,9.6
234-65-2137,Kenloy,Jinja,Normal,Male,Home and lifestyle,19116,100,48,1911600,5/16/2024,13:32,Cash,955.8,4.761904762,47.79,4.8
